Incident number,Incident Occurred,Incident Reported,LATITUDE,LONGITUDE,NIB_CODE_DESC
2014403704,20140514 11:00,20140522 13:30,36.25370809,-86.77697833,Burglary/Breaking & Entering
2014381758,20140514 11:30,20140515 06:50,36.17589195,-86.79525172,Burglary/Breaking & Entering
2014379470,20140514 13:04,20140514 13:40,36.09117297,-86.76312576,Burglary/Breaking & Entering
2014379555,20140514 13:30,20140514 14:04,36.05218859,-86.71469925,Burglary/Breaking & Entering
2014381753,20140514 15:15,20140515 07:30,36.16212282,-86.86063888,Burglary/Breaking & Entering
2014380751,20140514 18:15,20140514 19:32,36.04419546,-86.72647006,Burglary/Breaking & Entering
2014385546,20140514 18:30,20140516 12:35,36.11311507,-86.74273863,Burglary/Breaking & Entering
2014382452,20140514 19:30,20140515 12:00,36.1140422,-86.74341088,Burglary/Breaking & Entering
2014381057,20140514 20:30,20140515 02:30,36.13195175,-86.77122182,Burglary/Breaking & Entering
2014383261,20140515 00:00,20140515 18:12,36.1154488,-86.70918115,Burglary/Breaking & Entering
2014381374,20140515 00:20,20140515 02:30,36.1697617,-86.76531807,Burglary/Breaking & Entering
2014381266,20140515 01:20,20140515 01:36,36.05964314,-86.73903821,Burglary/Breaking & Entering
2014381422,20140515 02:50,20140515 03:26,36.2181442,-86.80357775,Burglary/Breaking & Entering
2014381505,20140515 02:50,20140515 04:50,36.08322535,-86.72395708,Burglary/Breaking & Entering
2014381446,20140515 03:10,20140515 03:30,36.04690853,-86.74287426,Burglary/Breaking & Entering
2014381635,20140515 04:15,20140515 05:43,36.08459852,-86.92058325,Burglary/Breaking & Entering
2014389572,20140515 05:00,20140518 00:10,36.13022657,-86.9143565,Burglary/Breaking & Entering
2014383286,20140515 07:30,20140515 18:30,36.07778253,-86.75848613,Burglary/Breaking & Entering
2014382812,20140515 12:00,20140515 18:35,36.077523,-86.75782038,Burglary/Breaking & Entering
2014386851,20140515 12:00,20140516 23:26,36.16166044,-86.81932091,Burglary/Breaking & Entering
2014382497,20140515 12:16,20140515 12:20,36.21661366,-86.58815451,Burglary/Breaking & Entering
2014414863,20140515 13:00,20140526 16:20,36.23356042,-86.79153066,Burglary/Breaking & Entering
2014391163,20140515 13:00,20140518 13:15,36.09044322,-86.63449976,Burglary/Breaking & Entering
2014393769,20140515 14:00,20140519 12:20,36.21192498,-86.63158356,Burglary/Breaking & Entering
2014390815,20140515 16:00,20140518 10:00,36.19073954,-86.80729909,Burglary/Breaking & Entering
2014384856,20140515 16:30,20140516 04:40,36.25145916,-86.71638395,Burglary/Breaking & Entering
2014383125,20140515 16:52,20140515 17:08,36.08992115,-86.63920355,Burglary/Breaking & Entering
2014388671,20140515 18:00,20140517 17:15,36.18874644,-86.77182138,Burglary/Breaking & Entering
2014384055,20140515 22:20,20140515 22:37,36.05907377,-86.64129326,Burglary/Breaking & Entering
2014388762,20140516 00:00,20140517 18:00,36.10070513,-86.60480016,Burglary/Breaking & Entering
2014384525,20140516 01:15,20140516 01:43,36.2591557,-86.7132211,Burglary/Breaking & Entering
2014385942,20140516 03:00,20140516 16:21,36.14780675,-86.82978969,Burglary/Breaking & Entering
2014384789,20140516 03:30,20140516 03:40,36.11070353,-86.74222518,Burglary/Breaking & Entering
2014385486,20140516 11:00,20140516 12:10,36.04171919,-86.66129961,Burglary/Breaking & Entering
2014385447,20140516 11:30,20140516 11:57,36.185388,-86.82279877,Burglary/Breaking & Entering
2014385702,20140516 12:00,20140516 14:30,36.17592582,-86.67414489,Burglary/Breaking & Entering
2014387713,20140516 12:00,20140517 06:42,36.17674304,-86.75159834,Burglary/Breaking & Entering
2014386045,20140516 15:30,20140516 17:10,36.24685529,-86.77639907,Burglary/Breaking & Entering
2014394265,20140516 16:00,20140519 14:35,36.21820493,-86.71062891,Burglary/Breaking & Entering
2014387915,20140516 20:35,20140517 09:01,36.05011678,-86.6492452,Burglary/Breaking & Entering
2014388354,20140516 22:00,20140517 14:00,36.17759737,-86.58599494,Burglary/Breaking & Entering
2014388048,20140516 22:00,20140517 10:20,36.11047517,-86.53533751,Burglary/Breaking & Entering
2014388255,20140516 22:15,20140517 12:50,36.08204609,-86.62488912,Burglary/Breaking & Entering
2014391580,20140517 00:00,20140518 16:02,36.21961376,-86.81466491,Burglary/Breaking & Entering
2014387787,20140517 06:40,20140517 07:35,36.13508597,-86.72473141,Burglary/Breaking & Entering
2014388842,20140517 10:00,20140517 18:00,36.17797031,-86.81274983,Burglary/Breaking & Entering
2014397272,20140517 12:00,20140520 12:30,36.1076134,-86.78553918,Burglary/Breaking & Entering
2014388299,20140517 12:58,20140517 13:00,36.16148153,-86.80012785,Burglary/Breaking & Entering
2014391436,20140517 14:00,20140518 17:00,36.25889011,-86.71632562,Burglary/Breaking & Entering
2014389452,20140517 16:00,20140518 00:40,36.16098572,-86.84034118,Burglary/Breaking & Entering
2014390182,20140518 04:08,20140518 04:40,36.0650777,-86.68593328,Burglary/Breaking & Entering
2014390239,20140518 05:00,20140518 05:45,36.06849998,-86.61637755,Burglary/Breaking & Entering
2014395606,20140518 07:00,20140519 23:00,36.13844984,-86.7680168,Burglary/Breaking & Entering
2014392279,20140518 07:15,20140518 21:27,36.06069695,-86.64032857,Burglary/Breaking & Entering
2014392673,20140518 08:00,20140519 00:59,36.09960249,-86.92430811,Burglary/Breaking & Entering
2014438531,20140518 08:00,20140603 12:30,36.23873486,-86.63853153,Burglary/Breaking & Entering
2014392047,20140518 09:00,20140518 19:35,36.09289692,-86.64269683,Burglary/Breaking & Entering
2014391007,20140518 09:45,20140518 11:26,36.06577241,-86.64570534,Burglary/Breaking & Entering
2014391077,20140518 11:40,20140518 11:57,36.04207395,-86.71603236,Burglary/Breaking & Entering
2014391429,20140518 13:00,20140518 15:24,36.1084757,-86.70041504,Burglary/Breaking & Entering
2014391438,20140518 14:00,20140518 15:25,36.14708273,-86.87359736,Burglary/Breaking & Entering
2014394011,20140518 15:00,20140519 11:56,36.25563858,-86.7317623,Burglary/Breaking & Entering
2014391386,20140518 15:20,20140518 15:34,36.26757297,-86.70658711,Burglary/Breaking & Entering
2014395856,20140518 16:30,20140519 00:30,36.20190628,-86.82999637,Burglary/Breaking & Entering
2014394423,20140518 17:00,20140519 15:58,36.29451969,-86.70535134,Burglary/Breaking & Entering
2014392675,20140518 17:30,20140519 01:00,36.21563519,-86.82289563,Burglary/Breaking & Entering
2014393658,20140518 19:00,20140519 09:41,36.08517295,-86.69693348,Burglary/Breaking & Entering
2014364658,20140518 19:00,20140519 09:41,36.17623446,-86.5956143,Burglary/Breaking & Entering
2014394179,20140518 19:00,20140519 09:41,36.08520155,-86.69691314,Burglary/Breaking & Entering
2014392577,20140518 19:45,20140519 00:32,36.11381389,-86.81082356,Burglary/Breaking & Entering
2014392444,20140518 21:30,20140518 23:15,36.23152907,-86.66158405,Burglary/Breaking & Entering
2014392425,20140518 22:50,20140518 23:09,36.15804975,-86.82068269,Burglary/Breaking & Entering
2014393276,20140519 00:00,20140519 06:00,36.18664106,-86.74711054,Burglary/Breaking & Entering
2014394588,20140519 05:30,20140519 17:00,36.08519736,-86.71574418,Burglary/Breaking & Entering
2014395249,20140519 07:30,20140519 21:30,36.29642097,-86.74200031,Burglary/Breaking & Entering
2014593987,20140519 08:00,20140728 16:00,36.12400312,-86.70592229,Burglary/Breaking & Entering
2014394065,20140519 10:00,20140519 12:30,36.22919808,-86.63106677,Burglary/Breaking & Entering
2014391469,20140519 12:18,20140519 21:30,36.02671873,-86.71023612,Burglary/Breaking & Entering
2014394476,20140519 15:12,20140519 17:30,36.31935108,-86.8992757,Burglary/Breaking & Entering
2014395662,20140519 21:30,20140519 23:20,36.16559588,-86.75549041,Burglary/Breaking & Entering
2014395861,20140520 00:30,20140520 01:30,36.18637792,-86.82305981,Burglary/Breaking & Entering
